"titre","url","sous_titre","annee","mois","jour"
"« Le fait-divers : révélation ou diversion ? »","https://www.acrimed.org/Le-fait-divers-revelation-ou-diversion","Samedi 27 mai - Table ronde avec Patrick Champagne, Hugues Le Paige, Aline Pailler et Guy (...)",2006,"",""
"« A nous de voir, une télévision qui nous regarde »","https://www.acrimed.org/A-nous-de-voir-une-television-qui-nous-regarde","Samedi 13 mai - Théâtre, Cinéma, Débat 16h Cinéma l’Ecran à Saint-Denis.",2006,"",""
"Autour de LQR, La propagande au quotidien","https://www.acrimed.org/Autour-de-LQR-La-propagande-au-quotidien","Avec Eric Hazan, à Paris, samedi 13 mai à 17h.",2006,"",""
"« Les médias au coeur du débat »","https://www.acrimed.org/Les-medias-au-coeur-du-debat","Avec Renaud Lambert (Acrimed, OFM), Michel Lulek (IPNS) - 28 avril à 20h30, (...)",2006,"",""
"« Les médias et le Venezuela : le venin de la désinformation »","https://www.acrimed.org/Les-medias-et-le-Venezuela-le-venin-de-la-desinformation","Mercredi 19 avril à Paris Avec Henri Maler et Renaud Lambert (Acrimed)",2006,"",""
"« Viva Zapatero ! » : Projection-débat","https://www.acrimed.org/Viva-Zapatero-Projection-debat","Mercredi 22 mars, à Chevilly-Larue Avec Antoine Schwartz (Acrimed, Le Plan B)",2006,"",""
"Des médias qui mentent ?","https://www.acrimed.org/Des-medias-qui-mentent","Jeudi 23 mars à Tremblay-en-France, avec Henri Maler (Acrimed) et le SNJ-CGT",2006,"",""
"Forum citoyen à Vincennes","https://www.acrimed.org/Forum-citoyen-a-Vincennes","Samedi 18 mars, de 19h à 23 h, avec Susan George (Attac), Annie Lahmer, (Alter Écolo), Noël (...)",2006,"",""
"Médias : l’indépendance et le pluralisme en question","https://www.acrimed.org/Medias-l-independance-et-le-pluralisme-en-question","A Lyon, le dimanche 5 Mars - avec Henri Maler (Acrimed)",2006,"",""
"« Pluralisme et critique des médias »","https://www.acrimed.org/Pluralisme-et-critique-des-medias","Mardi 21 février, à Corbeil-Essones - avec Michel Muller, (Filpac-CGT), Nicolas Spengler (...)",2006,"",""
"L’AFP en danger... Quel projet pour l’AFP ?","https://www.acrimed.org/L-AFP-en-danger-Quel-projet-pour-l-AFP","Jeudi 23 février, à Paris avec Patrick Kamenka (SNJ-CGT) et Claus Tulatz (Sud-AFP)",2006,"",""
"Les médias et nous...","https://www.acrimed.org/Les-medias-et-nous","Le 10 février 2006, avec Mathias Reymond (Acrimed)",2006,"",""
"C’était hier : Débats sur les médias (2006)","https://www.acrimed.org/C-etait-hier-Debats-sur-les-medias-2006","Récapitulatif des annonces parues sur notre Agenda en 2006.",2006,"",""
"« Le rôle des médias dans la lutte pour une autre société »","https://www.acrimed.org/Le-role-des-medias-dans-la-lutte-pour-une-autre","A Bruxelles, samedi 18 novembre",2006,"",""
"Télé Millevaches fête ses 20 ans","https://www.acrimed.org/Tele-Millevaches-fete-ses-20-ans","28-29-30 Septembre 2006 Faux la Montagne",2006,"",""
"Projection d’ « Enfin pris », suivie d’un débat","https://www.acrimed.org/Projection-d-Enfin-pris-suivie-d-un-debat","22 novembre, à Paris. Avec Mathias Reymond et Grégory Rzepskid’Acrimed",2006,"",""
"« Internet et les médias alternatifs d’informations »","https://www.acrimed.org/Internet-et-les-medias-alternatifs-d-informations","Le samedi 9 décembre, à Paris de 15h à 17h : « Internet et les médias alternatifs d’informations » (...)",2006,"",""
"Critique des médias et alternatives","https://www.acrimed.org/Critique-des-medias-et-alternatives","Le 7 décembre à Toulouse. Avec Acrimed Toulouse et des journaux indépendants.",2006,"",""
"« I » - L’Argentine, Indymedia et les questions de communication »","https://www.acrimed.org/I-L-Argentine-Indymedia-et-les-questions-de-communication","Projections décentralisées en France du 1 au 7 novembre 2006.",2006,"",""
"Guérilla Numérique - 10 ans de résistances sur l’Internet","https://www.acrimed.org/Guerilla-Numerique-10-ans-de-resistances-sur-l-Internet","17 juin à Saint-Denis.",2006,"",""
"« Les médias contre la démocratie ? »","https://www.acrimed.org/Les-medias-contre-la-democratie","Jeudi 1er juin, à Paris. Projection-débat de « Désentubages cathodiques », Antoine Schwartz (...)",2006,"",""
"« Médias dominants : concentration financière et pensée unique »","https://www.acrimed.org/Medias-dominants-concentration-financiere-et-pensee-unique","Jeudi 29 juin à Montreuil - Avec Serge Halimi et Pierre Rimbert",2006,"",""
"« Le fait-divers : révélation ou diversion ? »","https://www.acrimed.org/Le-fait-divers-revelation-ou-diversion","Samedi 27 mai - Table ronde avec Patrick Champagne, Hugues Le Paige, Aline Pailler et Guy (...)",2006,"",""
"« A nous de voir, une télévision qui nous regarde »","https://www.acrimed.org/A-nous-de-voir-une-television-qui-nous-regarde","Samedi 13 mai - Théâtre, Cinéma, Débat 16h Cinéma l’Ecran à Saint-Denis.",2006,"",""
"Autour de LQR, La propagande au quotidien","https://www.acrimed.org/Autour-de-LQR-La-propagande-au-quotidien","Avec Eric Hazan, à Paris, samedi 13 mai à 17h.",2006,"",""
"« Les médias au coeur du débat »","https://www.acrimed.org/Les-medias-au-coeur-du-debat","Avec Renaud Lambert (Acrimed, OFM), Michel Lulek (IPNS) - 28 avril à 20h30, (...)",2006,"",""
"« Les médias et le Venezuela : le venin de la désinformation »","https://www.acrimed.org/Les-medias-et-le-Venezuela-le-venin-de-la-desinformation","Mercredi 19 avril à Paris Avec Henri Maler et Renaud Lambert (Acrimed)",2006,"",""
"« Viva Zapatero ! » : Projection-débat","https://www.acrimed.org/Viva-Zapatero-Projection-debat","Mercredi 22 mars, à Chevilly-Larue Avec Antoine Schwartz (Acrimed, Le Plan B)",2006,"",""
"Des médias qui mentent ?","https://www.acrimed.org/Des-medias-qui-mentent","Jeudi 23 mars à Tremblay-en-France, avec Henri Maler (Acrimed) et le SNJ-CGT",2006,"",""
"Forum citoyen à Vincennes","https://www.acrimed.org/Forum-citoyen-a-Vincennes","Samedi 18 mars, de 19h à 23 h, avec Susan George (Attac), Annie Lahmer, (Alter Écolo), Noël (...)",2006,"",""
"Médias : l’indépendance et le pluralisme en question","https://www.acrimed.org/Medias-l-independance-et-le-pluralisme-en-question","A Lyon, le dimanche 5 Mars - avec Henri Maler (Acrimed)",2006,"",""
"« Pluralisme et critique des médias »","https://www.acrimed.org/Pluralisme-et-critique-des-medias","Mardi 21 février, à Corbeil-Essones - avec Michel Muller, (Filpac-CGT), Nicolas Spengler (...)",2006,"",""
"L’AFP en danger... Quel projet pour l’AFP ?","https://www.acrimed.org/L-AFP-en-danger-Quel-projet-pour-l-AFP","Jeudi 23 février, à Paris avec Patrick Kamenka (SNJ-CGT) et Claus Tulatz (Sud-AFP)",2006,"",""
"Les médias et nous...","https://www.acrimed.org/Les-medias-et-nous","Le 10 février 2006, avec Mathias Reymond (Acrimed)",2006,"",""
"C’était hier : Débats sur les médias (2006)","https://www.acrimed.org/C-etait-hier-Debats-sur-les-medias-2006","Récapitulatif des annonces parues sur notre Agenda en 2006.",2006,"",""
"« Le rôle des médias dans la lutte pour une autre société »","https://www.acrimed.org/Le-role-des-medias-dans-la-lutte-pour-une-autre","A Bruxelles, samedi 18 novembre",2006,"",""
"Les enjeux démocratiques de la critique des médias","https://www.acrimed.org/Les-enjeux-democratiques-de-la-critique-des-medias-2292","À Toulouse, le 8 mars - Avec Henri Maler (Acrimed)",2005,"",""
"Les médias nous informent-ils vraiment ?","https://www.acrimed.org/Les-medias-nous-informent-ils-vraiment","A Cahors, le 9 mars - avec Henri Maler (Acrimed)",2005,"",""
"Critique des médias, enjeux démocratiques","https://www.acrimed.org/Critique-des-medias-enjeux-democratiques","A Niort, le vendredi 3 mars, débat avec Guy Pineau (Acrimed) -",2005,"",""
"Projection-débat : Désentubages cathodiques (février)","https://www.acrimed.org/Projection-debat-Desentubages-cathodiques-fevrier","A Pontoise, le 3 février - Avec Serge Halimi et Pierre Rimbert",2005,"",""
"Autour d’un livre : « Médias en campagne »","https://www.acrimed.org/Autour-d-un-livre-Medias-en-campagne","Paris, mardi 21 février à La Passerelle avec Henri Maler et Antoine Schwartz.",2005,"",""
"Présentations de L’Almanach critique des médias et de Médias en campagne","https://www.acrimed.org/Presentations-de-L-Almanach-critique-des-medias-et-de-Medias-en-campagne","Librairie éphémère de Co-errances au « Lieu dit » 6 rue Sorbier 75020 Paris M° Ménilmontant ou (...)",2005,"",""
"« La question des médias, un enjeu politique majeur »","https://www.acrimed.org/La-question-des-medias-un-enjeu-politique-majeur","A Clermont-Ferrand, Samedi 26 novembre - Avec Antoine Schwartz (Acrimed, Le Plan (...)",2005,"",""
"« Une presse libre ! Mais comment ? »","https://www.acrimed.org/Une-presse-libre-Mais-comment","A Montpellier, le 25 novembre. Avec Olivier Cyran (CQFD), Mathias Reymond (Acrimed) et (...)",2005,"",""
"« Quels autres médias »","https://www.acrimed.org/Quels-autres-medias","A Paris, le 19 novembre, avec Esteban et Henri Maler (Acrimed)",2005,"",""
"Les enjeux démocratiques de la critique des médias","https://www.acrimed.org/Les-enjeux-democratiques-de-la-critique-des-medias","Mercredi 5 avril, à Luxembourg avec Henri Maler (Acrimed)",2005,"",""
"Le pluralisme dans la presse (septembre 2005)","https://www.acrimed.org/Le-pluralisme-dans-la-presse-septembre-2005","29 septembre 2005, à 18 h. à Maromme (76). Avec Arnaud Rindel, le Collectif de la Région (...)",2005,"",""
"« Sous l’appellation mensongère de “pédagogie” » (H. Maler dans L’Huma)","https://www.acrimed.org/Sous-l-appellation-mensongere-de-pedagogie-H-Maler-dans-L-Huma","Un entretien avec Henri Maler dans L’Humanité (29 mars 2005).",2005,"",""
"L’audiovisuel public est-il soluble dans le libéralisme ?","https://www.acrimed.org/L-audiovisuel-public-est-il-soluble-dans-le-liberalisme-1910","A Paris, 24 mars 2005, à 19 h.",2005,"",""
" Les journalistes aussi...  (Le Monde diplomatique)","https://www.acrimed.org/Les-journalistes-aussi-Le-Monde-diplomatique"," Souvent très diplômés, des intérimaires de l’information sont réduits au rôle de soutiers du (...)",2004,"",""
"Décrypter le journal télévisé (décembre)","https://www.acrimed.org/Decrypter-le-journal-televise-decembre","Avec Philippe Descamps, le 21 décembre à Grenoble",2004,"",""
"Médias, territoire et société - Les Médias et la censure (décembre)","https://www.acrimed.org/Medias-territoire-et-societe-Les-Medias-et-la-censure-decembre","2 et 3 décembre 2004",2004,"",""
"« D’autres médias pour un autre monde » (décembre)","https://www.acrimed.org/D-autres-medias-pour-un-autre-monde-decembre","A Uzès, le 2 décembre - A Bagnols-sur-Cèze, le 3. Avec Henri Maler",2004,"",""
"« Les nouveaux chiens de garde » (novembre)","https://www.acrimed.org/Les-nouveaux-chiens-de-garde-novembre","Avec Aline Pailler et Henri Maler, samedi 20 novembre, 16h30.",2004,"",""
"« Le Pouvoir des médias » (novembre)","https://www.acrimed.org/Le-Pouvoir-des-medias-novembre","Avec Mathias Reymond (Acrimed), et Hervé Boulate (Regarde à vues), le 16 novembre à Clapiers (...)",2004,"",""
"« Médias et démocratie : les enjeux de la critique des médias » (novembre)","https://www.acrimed.org/Medias-et-democratie-les-enjeux-de-la-critique-des-medias-novembre","Avec Henri Maler, Vendredi 19 novembre à 20h30 à Cenon (près de Bordeaux)",2004,"",""
"Rencontres radiophoniques de Valence (novembre)","https://www.acrimed.org/Rencontres-radiophoniques-de-Valence-novembre","Appel et programme",2004,"",""
"Critique des médias & médias critiques (octobre)","https://www.acrimed.org/Critique-des-medias-medias-critiques-octobre","A la librairie La Gryffe à Lyon Avec Henri Maler (Acrimed) Olivier Cyran et François Maliet de (...)",2004,"",""
"« Médias : Pour un vrai service public » (septembre)","https://www.acrimed.org/Medias-Pour-un-vrai-service-public-septembre","Avec Daniel Mermet, Henri Maler, Aline Pailler, Raoul Sangla",2004,"",""
"Régulations et dérégulations libérales des médias audiovisuels (2)","https://www.acrimed.org/Regulations-et-deregulations-liberales-des-medias-audiovisuels-2","La régulation de la communication audiovisuelle remise en cause par les groupes privés du secteur (...)",2004,"",""
"Le centre d’études sur les médias (Québec, Canada)","https://www.acrimed.org/Le-centre-d-etudes-sur-les-medias-Quebec-Canada","Présentation du Centre et ressources offertes par son site.",2004,"",""
"Quelques articles de l’Observatoire européen du journalisme (Lugano)","https://www.acrimed.org/Quelques-articles-de-l-Observatoire-europeen-du-journalisme-Lugano","Pour donner une idée de son orientation.",2004,"",""
"Un Observatoire du journalisme européen à l’Université de Lugano","https://www.acrimed.org/Un-Observatoire-du-journalisme-europeen-a-l-Universite-de-Lugano","Annonce de la constitution de l’Observatoire…",2004,"",""
"Le Groupe Dassault : de 2003 à 2004","https://www.acrimed.org/Le-Groupe-Dassault-de-2003-a-2004","Brève présentation du groupe Dassault.",2004,"",""
"Révélations sur un délit d’initié","https://www.acrimed.org/Revelations-sur-un-delit-d-initie","Un poignée de petits malins ont réalisé une plus-value de 20% sur l’action Promodès",2004,"",""
"Le groupe Hersant : l’étendue de l’empire en 2002","https://www.acrimed.org/Le-groupe-Hersant-l-etendue-de-l-empire-en-2002","Quelques données à réactualiser extraites d’un article paru dans le magazine syndical M-magazine, (...)",2004,"",""
"L’Acrimédiateur du Monde se penche sur Le Monde 2 et sur un titre trompeur","https://www.acrimed.org/L-Acrimediateur-du-Monde-se-penche-sur-Le-Monde-2-et-sur-un-titre-trompeur","Lettre ouverte à Robert Solé, médiateur du Monde, sur la vente forcée du Monde2, sur un titre qui (...)",2004,"",""
"Tunisie : Quand Le Monde nous fait dévaler la pente","https://www.acrimed.org/Tunisie-Quand-Le-Monde-nous-fait-devaler-la-pente","... et quand Acrimed se plante.",2004,"",""
"« Dans les laboratoires du mensonge au Venezuela » (Le Monde Diplomatique)","https://www.acrimed.org/Dans-les-laboratoires-du-mensonge-au-Venezuela-Le-Monde-Diplomatique","« Jamais, dans l’histoire de l’Amérique latine, la participation des moyens d’information à un coup (...)",2004,"",""
"Les débats d’Acrimed à Paris (1996-2002)","https://www.acrimed.org/Les-debats-d-Acrimed-a-Paris-1996-2002","Acrimed organise des débats publics avec des journalistes, des chercheurs, des acteurs du (...)",2004,"",""
"Propagandes de guerre (octobre)","https://www.acrimed.org/Propagandes-de-guerre-octobre","Avec Henri Maler (Acrimed), le 14 octobre à 21 h. à Rennes",2004,"",""
"Les Jeudis d’Acrimed","https://www.acrimed.org/Les-Jeudis-d-Acrimed","Une fois par mois environ, Acrimed organise des débats avec des journalistes, des chercheurs, (...)",2004,"",""
"Le CSA s’est fait augmenter de 70 %","https://www.acrimed.org/Le-CSA-s-est-fait-augmenter-de-70","... en toute indépendance.",2003,"",""
"Jospin : 500 000 euros de com’","https://www.acrimed.org/Jospin-500-000-euros-de-com"," Dans les comptes de campagne de Jospin déposés au Conseil constitutionnel (Le Monde, 8/7/02) (...)",2003,"",""
"Vivendi : notre agent au CSA (Le Canard enchaîné)","https://www.acrimed.org/Vivendi-notre-agent-au-CSA-Le-Canard-enchaine","Un membre du CSA détenait 335 000 euros d’actions Vivendi.",2003,"",""
"Sondages : des  échantillons  farfelus","https://www.acrimed.org/Sondages-des-echantillons-farfelus","A quelques jours du premier tour de l’élection présidentielle, le 3 avril 2002, Le Canard enchaîné (...)",2003,"",""
"Le sondage, une juteuse opération commerciale","https://www.acrimed.org/Le-sondage-une-juteuse-operation-commerciale","Pour un prix avoisinant les 4500 euros (30 000 F) on espère donner un coup de fouet aux ventes (...)",2003,"",""
"Société de l’information : un sommet pour rien ?","https://www.acrimed.org/Societe-de-l-information-un-sommet-pour-rien","A quoi ce Sommet peut-il bien servir ? Telle sera la question posée à Pascal Fortin, chercheur à (...)",2003,"",""
"Concentration et hiérarchisation dans la presse en Suisse","https://www.acrimed.org/Concentration-et-hierarchisation-dans-la-presse-en-Suisse","« Le retournement conjoncturel accélère les réorganisations dans l’industrie des médias », écrivait (...)",2002,"",""
"TF1 : l’actualité internationale sacrifiée à l’audimat","https://www.acrimed.org/TF1-l-actualite-internationale-sacrifiee-a-l-audimat","Robert Namias, patron de l’info sur TF1, et Régis Faucon, ancien responsable de la politique (...)",2002,"",""
"99 Francs de Frédéric Beigbeder (extraits)","https://www.acrimed.org/99-Francs-de-Frederic-Beigbeder-extraits","Toutes ces marques sont rigoureusement inattaquables. Elles ont le droit de vous parler mais (...)",2002,"",""
"Lire : La Guerre israélienne de l’information de Denis Sieffert et Joss Dray (extrait)","https://www.acrimed.org/Lire-La-Guerre-israelienne-de-l-information-de-Denis-Sieffert-et-Joss-Dray","Denis Sieffert et Joss Dray publient « la Guerre israélienne de l’information » (La Découverte), un (...)",2002,"",""
"Fallait-il aller au Salon du livre de La Havane ?","https://www.acrimed.org/Fallait-il-aller-au-Salon-du-livre-de-La-Havane","Anticastrisme primaire Lancée par quelques médias parisiens, une campagne a été déclenchée autour (...)",2002,"",""
"Le {New York Times} trafique ses archives en ligne...","https://www.acrimed.org/Le-New-York-Times-trafique-ses-archives-en-ligne","Dans les heures qui ont suivi l’attaque du WTC, le 11 septembre, le New York Times a retiré (...)",2002,"",""
"Arrêt sur pillages (2)","https://www.acrimed.org/Arret-sur-pillages-2","Comment écrire un livre en recopiant les articles d’Acrimed et quelques autres...",2002,"",""
"Devenir journalistes, par D. Marchetti et D. Ruellan","https://www.acrimed.org/Devenir-journalistes-par-D-Marchetti-et-D-Ruellan","Devenir journalistes. Sociologie de l’entrée sur le marché du travail, Paris, La Documentation (...)",2002,"",""
"Analyses critiques de la pub sur le site de transnationale.org","https://www.acrimed.org/Analyses-critiques-de-la-pub-sur-le-site-de-transnationale-org","Extraits d’articles",2002,"",""
"Le Monde pille uZine","https://www.acrimed.org/Le-Monde-pille-uZine","Une lettre de Marc Laimé à Edwy Plenel, suivie des sources omises par Le Monde.",2002,"",""
"Les droits d’auteur des pigistes américains (1)","https://www.acrimed.org/Les-droits-d-auteur-des-pigistes-americains-1","En 1993, six pigistes attaquent des groupes de presse qui reproduisent leurs articles sur le (...)",2002,"",""
"Florilège de promotions en direct de 2001","https://www.acrimed.org/Florilege-de-promotions-en-direct-de-2001","Philippe Sollers - Jean-François Kahn - Dominique de Villepin - Philippe Labro",2001,"",""
"Julliard : haro sur Debray et Bourdieu !","https://www.acrimed.org/Julliard-haro-sur-Debray-et-Bourdieu","Résumé : Debray ? « Sur le fond, c’est du Bourdieu. En moins systématique mais en mieux écrit. (...)",2001,"",""
"Une armée mexicaine","https://www.acrimed.org/Une-armee-mexicaine","C’est un journal qui annonce dans son ours (à suivre …)",2001,"",""
"Le Monde et le droit international","https://www.acrimed.org/Le-Monde-et-le-droit-international","Des interprétations, et non des informations ; des commentaires souvent désinvoltes, alors que le (...)",2001,"",""
"Chiffres de vente, suppléments et publicité","https://www.acrimed.org/Chiffres-de-vente-supplements-et-publicite","Pour se faire une idée de la place prise par la publicité dans Le Nouvel Observateur",2001,"",""
"Le Monde et InterFranceMédia","https://www.acrimed.org/Le-Monde-et-InterFranceMedia","A propos des suppléments réalisés par InterMédiaFrance,partenaire du Monde.",2001,"",""
"Analyses critiques de la pub sur divers sites","https://www.acrimed.org/Analyses-critiques-de-la-pub-sur-divers-sites","Extraits d’articles et liens",2001,"",""
"Le Monde me pompe","https://www.acrimed.org/Le-Monde-me-pompe","Une tribune libre de Pierre Madrid, photojournaliste , lecteur du Monde, professionnellement (...)",2001,"",""
"Journalistes et entreprises : promiscuité et passivité","https://www.acrimed.org/Journalistes-et-entreprises-promiscuite-et-passivite","Dépendance financière et manque de moyens des publications économiques françaises.",2001,"",""
"Médias et idéologie : la voix de son maître","https://www.acrimed.org/Medias-et-ideologie-la-voix-de-son-maitre","Article paru dans le mensuel alternatif Avancées (Belgique)",2001,"",""
"2001 : Quand Le Monde scrute une grève à la SNCF","https://www.acrimed.org/2001-Quand-Le-Monde-scrute-une-greve-a-la-SNCF","Irrationnels, archaïques, corporatistes, divisés, suicidaires et nuisibles : portrait des (...)",2001,"",""
"La direction de France Culture confond-elle fiction et réalité ?","https://www.acrimed.org/La-direction-de-France-Culture-confond-elle-fiction-et-realite","Une lettre ouverte de 2001 au Président de Radio France à propos des fictions dramatiques sur (...)",2001,"",""
"Françafrique : les médias complices ? (1)","https://www.acrimed.org/Francafrique-les-medias-complices-1","Récit d’une chronique politico-judiciaire.",2001,"",""
"Déontologie des journalistes : une polémique révélatrice","https://www.acrimed.org/Deontologie-des-journalistes-une-polemique","Extraits de l’article paru sous le même titre dans le trimestriel associatif L’Envers des Médias (...)",2001,"",""
"Bernard-Henri Lévy condense l’année (2000) intellectuelle...","https://www.acrimed.org/Bernard-Henri-Levy-condense-l-annee-2000-intellectuelle","Bénédictions pontificales.",2000,"",""
"Les moutons de panel de Francis Szpiner et Bruno Seznec (extraits)","https://www.acrimed.org/Les-moutons-de-panel-de-Francis-Szpiner-et-Bruno-Seznec-extraits","Le sondage n’illustre plus l’événement, il le crée.",2000,"",""
"Arrêt sur pillages (1)","https://www.acrimed.org/Arret-sur-pillages-1","Comment respecter les droits d’auteur d’Acrimed, comment Acrimed respecte les droits (...)",2000,"",""
"Pour écrire aux chaînes de télévision","https://www.acrimed.org/Pour-ecrire-aux-chaines-de-television","France 2, France 3, la cinquième, Arte, TF1, Canal plus et M6.",2000,"",""
"Andouillette, Coffe et carrefour-jardins.com : la grande arnaque !","https://www.acrimed.org/Andouillette-Coffe-et-carrefour-jardins-com-la-grande-arnaque","Jean-Pierre Coffe : Consultant désintéressé auprès de médias ou représentant de commerce au service (...)",2000,"",""
"Nous, Producteurs de France Culture","https://www.acrimed.org/Nous-Producteurs-de-France-Culture","Nous, Producteurs de France Culture, en défense de cette radio culturelle de service public (...)",2000,"",""
"Timor : lendemains d’amnésie","https://www.acrimed.org/Timor-lendemains-d-amnesie","L’audace de PPDA, les bonnes questions d’Alain Rollat.",2000,"",""
"Est-ce que France Inter se moque du monde ?","https://www.acrimed.org/Est-ce-que-France-Inter-se-moque-du-monde","Scoop : oui.",2020,"avril","13"
"Crédit d’impôt sur les dépenses des annonceurs : sauver les médias ou la croissance ?","https://www.acrimed.org/Credit-d-impot-sur-les-depenses-des-annonceurs","Résistance à l’agression publicitaire appelle à repenser le modèle économique des médias. (Crédit (...)",2020,"avril","12"
"Nombre de contaminés Covid-19 : les infox Lapix au 20h de France 2","https://www.acrimed.org/Nombre-de-contamines-Covid-19-les-infox-Lapix-au","Une leçon de calcul et de déontologie.",2020,"avril","11"
"Confinement : Le Parisien coiffe le képi et surveille les quartiers populaires","https://www.acrimed.org/Confinement-Le-Parisien-coiffe-le-kepi-et","Journalisme de préfecture au beau fixe.",2020,"avril","9"
